post_id,platform,published_at,format,topic,hook,caption,duration_seconds,views,likes,comments,shares,post_url,saves,average_watch_time_seconds,completion_rate,top_region,target_region,top_region_view_percentage,notes
demo-001,tiktok,2026-05-02T10:00:00Z,Talking head,Wash day education,"Wash day should not take your whole afternoon","Three ways to make wash day feel easier",24,12500,1130,54,96,,188,17.5,0.48,Australia,Australia,0.71,Synthetic educational example
demo-002,tiktok,2026-05-05T09:30:00Z,Founder story,Ingredient sourcing,"We rejected the first twelve versions","A founder explains why the formula starts with herbs",31,8900,712,42,71,,104,19.2,0.39,Australia,Australia,0.64,Synthetic founder example
demo-003,tiktok,2026-05-08T12:15:00Z,Product demo,Application routine,"Watch what happens when water hits it","Texture close-up and a simple application routine",18,18300,1654,63,149,,267,14.8,0.62,Australia,Australia,0.76,Synthetic product example
demo-004,tiktok,2026-05-11T08:45:00Z,Talking head,Scalp oil education,"You may be using too much","The most common mistake when applying scalp oil",27,22100,2077,118,244,,351,22.4,0.67,Australia,Australia,0.79,Synthetic educational example
demo-005,tiktok,2026-05-14T11:20:00Z,Behind the scenes,Fulfilment,"Come pack today's first order with us","Packing a fictional customer order behind the scenes",20,6400,493,29,38,,,12.1,0.34,Australia,Australia,0.57,Synthetic operations example
demo-006,tiktok,2026-05-17T14:00:00Z,Product demo,Routine building,"Your routine should match your week","One product three different hair routines",35,15100,1100,77,121,,214,24.7,0.51,Australia,Australia,0.68,Synthetic product example
demo-007,tiktok,2026-05-20T10:40:00Z,Reply video,Product consistency,"You asked if texture changes the result","Answering a fictional customer question about consistency",29,9700,801,61,83,,132,20.6,0.45,United States,Australia,0.58,Synthetic community example
demo-008,tiktok,2026-05-23T13:10:00Z,Lifestyle montage,Reset routine,"A slower routine for a noisy week","A quiet Sunday reset routine",22,11200,1000,38,75,,146,9.2,0.31,Australia,Australia,0.61,Synthetic lifestyle example
demo-009,tiktok,2026-05-26T09:05:00Z,Talking head,Cleansing education,"Foam is not the same thing as clean","Why more foam does not always mean a better cleanse",26,20400,1915,102,209,,318,21.8,0.65,Australia,Australia,0.81,Synthetic educational example
demo-010,tiktok,2026-05-29T15:25:00Z,Behind the scenes,Manufacturing,"This bottle starts here","From ingredient shelf to finished fictional bottle",32,13400,1058,48,92,,173,13.2,0.29,Australia,Australia,0.66,Synthetic manufacturing example
